,rating,sentiment,review,rating std,sentiment std,mae,spearman,sympathy,unsympathy,count
1,10.0,0.3926229178905487,애인이랑 영화를 보고나와서 맥주를 먹는데 안주가 필요없대요 현빈을 보고난후 절 보니 오징어같다고 마요네즈 가져오라네요... ,0.4714045207910317,0.14155866706085615,4.075534721215566,-0.8660254037844387,6114.0,749.0,1.0
2,10.0,0.8848824501037598,"현빈의 액션은 볼수록 멋있었고, 유해진은 갈수록 웃김ㅋㅋㅋㅋ 둘의 케미도 최고였다 ",1.2987440393218599,0.30064556857060665,3.56669330977379,0.25,4201.0,689.0,2.0
3,10.0,0.25205108523368835,아... 현빈.... ,0.1923076923076923,0.22825459763909067,1.7594065712048457,-0.09333333333333334,3724.0,572.0,3.0
4,10.0,0.9895835518836975,넘나 기분좋게 보고 나왔네요 ㅋㅋㅋ 현빈 유해진 뜻밖의 케미 ㅋㅋㅋㅋ 담주에 엄빠도 보여드림 좋을듯 ,0.7547290323079568,0.2759808389665336,2.7802415225240917,0.2006573889804469,2811.0,535.0,4.0
5,10.0,0.8080927133560181,재밌다는데 더말이 필요해? ,1.3412695755297437,0.2712492086814842,4.269981622695923,0.21360706748583957,2608.0,613.0,5.0
6,10.0,0.2311091125011444,현빈하고 유해진인데 더말이필요할까 고민하지말고 보삼 ,2.426720019106492,0.2952932099842441,2.8344326289260535,0.3685153501503564,1920.0,387.0,6.0
7,10.0,0.9826070070266724,"현빈 멋짐 터짐♡.♡ 유해진과 케미도 굿!추격전,총격전 아슬아슬 긴장감에 소름 돋음.재밌게 조조를 즐겼음^^ ",1.8856180831641267,0.0893482998508728,0.8704305489857992,0.8660254037844387,1227.0,189.0,7.0
9,9.0,0.9999879598617554,"무대인사 시사회로 봤는데 내사랑 현빈을 눈앞에서♡ 너무 재밌었다! 유쾌한 유해진과 넘나 멋진 현빈의 캐미도 좋구..악역 잘 소화한 김주혁, 귀엽고 웃긴 윤아ㅎㅎ시원시원한 액션도 짜릿하다~ 너무 웃겨서 눈물난것도 참 오랜만ㅋㅋ ",1.2025198791420466,0.29144473811662874,2.004696724859215,0.5035215933051053,989.0,219.0,9.0
10,10.0,0.9981739521026611,역시 믿고 보는 유해진 현빈!! 정말 재미있습니다!! 핵꿀잼!! ,0.5150787536377127,0.17350978689407864,1.273627289703914,0.034401045807689073,761.0,144.0,10.0
11,10.0,0.576099157333374,인성이 보려다 현빈본건데 재미잇네요 ,0.3499271061118826,0.2012798924538112,2.6423152770314897,-0.20412414523193148,566.0,119.0,11.0
14,10.0,0.8638597726821899,현빈 넘 멋져요~즐겁게 봤어요 ,0.9428090415820634,0.04633910235172203,1.3940144379933674,-0.8660254037844387,424.0,102.0,14.0
15,10.0,0.42364978790283203,현빈 개멋있다 윤아 개이쁘다 ,0.9843821739867143,0.2963141062759687,2.482730198990215,-0.17463761688164403,383.0,80.0,15.0
16,10.0,0.4930947422981262,잼써요 현빈존잘@.@ ,1.7853571071357126,0.3230176483868841,3.7470318923393884,0.6515837655350016,392.0,93.0,16.0
