,rating,sentiment,review,rating std,sentiment std,mae,spearman,sympathy,unsympathy,count
1,10.0,15.112167596817017,이렇게 주인공이 걱정이 안되는영화는 첨이네요.. ,0.9294650748918902,23.429598826888206,693.9485234664037,0.18985594544597134,17365.0,345.0,1.0
2,10.0,27.207869291305542,혼자야?응 아직 싱글이야 ㅋㅋㅋㅋ ,3.688905622452006,30.412134596185975,501.50381616751355,0.30070669982940523,12118.0,290.0,2.0
3,10.0,42.10507273674011,윤계상은 이제 배우라 불러도 손색없을듯! 악역 진짜 잘함 어찌나 몰입했던지 보는 중간에 나쁜놈이라 욕나옴. 시작은 마동석이 끝은 윤계상이 다함 ,0.4751888588854996,23.513737503837998,739.9529215369638,0.12243260812362032,10955.0,528.0,3.0
4,10.0,72.73128032684326,범죄도시 이건 신세계. 베테랑. 공공의적 다 보이는 영화인것같다. 대박조짐 시사회때 봤는데 또볼수밖에 없네 2017년 영화 중 top 1임 다들 달려가세요!!! ,2.1065374432940898,26.312905012535087,755.1092432141304,0.301672895613299,7863.0,832.0,4.0
5,10.0,51.0300874710083,졸라잼있음 한번보세요 ,1.326428401711472,19.279627154059266,573.7029289019229,0.18030682529075495,6268.0,393.0,5.0
6,9.0,80.66740036010742,윤계상배우의 연기 멋졌어요. ,1.084476016605715,29.343055789203834,670.3839790177171,0.38564935751988344,5382.0,295.0,6.0
7,10.0,62.05321550369263,시원하다 화끈하다 마블리를 느껴라 ,3.279279418919195,26.312921887057218,516.8684020192604,0.2489121197075014,4838.0,215.0,7.0
8,10.0,63.44980001449585,기대 이상 꿀잼ㅋㅋㅋ 잔인 할수 있으나 마동석 고유의 연기랑 윤계상 조선족 연기로 몰입감 하나는 최고. ,2.1778557242286634,27.240771162725114,430.47270371516544,-0.19666757745817884,4420.0,249.0,8.0
9,10.0,35.931748151779175,소문듣고 보고 왔는데 간만에 진짜 한국형오락액션 탄생이다 평점알바 썼었나했는데 시사회 많이 한 이유를 알겠음자신감 있을수밖에 베테랑같은 캐사이다 영화에요 이건 진짜 강추해도 욕안먹음!!!! 빵빵터졌네 진짴ㅋㅋㅋ ,1.7266224232023992,24.43428539079106,686.4172006071659,-0.01602035234191704,3230.0,145.0,9.0
11,10.0,93.70843172073364,윤계상도 넘 잘하지만 데리고 다니는 두명이 진짜 조선족인줄 진짜 연기 지림 ,1.4989708403591155,25.32901247852067,791.3513344128927,0.45596712170640363,2909.0,45.0,11.0
12,8.0,77.68909931182861,영화에 나오는 악역들이 대박입니다.3인조 조선족 악당들 정말 연기면 연기 액션이면 액션 머 하나 뒤쳐지는게 없네요.악역들이 영화를 더욱 재밌게 만들었습니다. ,1.6538602638345266,26.74511311978928,462.388226085239,0.29801352627988165,2932.0,81.0,12.0
13,10.0,72.90824055671692,청년경찰이 500만명인데 이영화는 800만은 들어야 한다고봄.. 볼까말까 고민하시면 보시는걸 추천 본사람 80프로는 재미있다고함 나머지 20프로 스토리 따지는 깨시민 ,3.2241897130217936,24.787804962128277,364.39405284336436,0.45163042723088914,2837.0,211.0,13.0
14,10.0,99.98364448547363,단짠 단짠 같은 영화!!! 웃기다가 쪼이다가 웃기다가 쪼이다가~~!!! 2시간이 순식간에 지나 갔네요 ㅎㅎ 역시 명절에 사이다같이 시원한 액션이 쵝오!! 그리고 생각보다 잔인하지 않았어요! 딱 기분좋게 볼만한 액션의 강도였어요^^ ,3.1183341003549754,28.060623264836824,608.7154669139696,0.6887238716433396,2221.0,123.0,14.0
15,10.0,96.70553207397461,생각보다 늠 재미있다아아!!!! 뭣보다 통쾌하더라!아 마블리 영화라고들 하던데 난 윤계상 악역 변신 완전 멋지더라- 처음으로 배우처럼 느껴짐!!! ,2.0732406533475007,26.24074567434344,712.9486525508593,0.26303848226480897,1958.0,96.0,15.0
16,10.0,37.268346548080444,"평론 작성한 기자분, ‘아트박스 사장의 재림’이래 ㅋㅋㅋㅋ ",2.735347286949631,29.98321976592768,569.4805188892532,0.35419074869159806,1690.0,63.0,16.0
17,10.0,62.93681263923645,마블에 '헐크'가 있다면 한국에는 '마동석'이 있다 ,2.3795522429481712,23.26330201014092,526.6676886559699,0.15186961436648344,1477.0,48.0,17.0
18,10.0,36.61413788795471,봐도  후회없는 영화이고  잔인해도  볼 만 함. ,0.6502822404491824,22.343668334532744,762.6748427859808,0.1998819084405503,1387.0,81.0,18.0
19,8.0,83.98765325546265,킹스맨2보다 재미있게 봤습니다.  마동석씨를 위한 영화ㅎㅎㅎ 그와중에 윤계상씨와 조연들 연기도 굿굿 ,3.2045124363513784,35.80287568003683,514.73646343008,0.8302362571776974,1382.0,99.0,19.0
20,10.0,34.079596400260925,내가 장담컨대 이거 무조건 흥행한다.올해 뿐만 아니라 내 인생영화 top5 들어간다.완전 최고다 진짜...와.. ,4.288418419928108,25.02185707136395,583.0703993210426,0.4146777929400994,1352.0,144.0,20.0
21,10.0,23.59893023967743,천만영화나왔네핵잼있는영화 ,3.8586123009300755,23.02929195827778,443.7326470216115,-0.5,1178.0,82.0,21.0
22,10.0,99.90029335021973,대박~~시간가는줄 모르고 봤습니다~~잔인한 장면이 있어 눈감은 장면이 있었지만~~넘 잼있게 봤습니다~^^귀여운 마블리~~윤계상 연기변신~~짱~~이제 윤계상씨보면 무서울듯~~ ,2.1436314303868937,25.0242893165332,746.4398740459891,0.4883858359387529,1013.0,54.0,22.0
23,10.0,68.0722713470459,시사회로 보고왔습니다 마동석 윤계상 연기 진짜 대박이고 조연배우들도 연기가 장난이아닙니다... 긴장감 넘치는스토리도 너무 맘에들고 마요미식 유머도 꿀잼 조진웅 예정화 까메오나옵니닼ㅋㅋ 올 추석 꼭보세요 !!! 참고로 아이돌 없습니다!!!! ,2.499382639822665,19.894066245233052,747.5325357119242,0.2018433569398328,906.0,53.0,23.0
24,10.0,80.7759165763855,매력 넘치는 캐릭터가 많아 보기 좋네요 ,1.527191556284534,26.110404066276534,649.5035638440739,-0.053545813360265634,850.0,63.0,24.0
25,10.0,93.6426043510437,윤계상 연기 진짜 잘하는듯ㅋㅋㅋ꿀잼 ,3.175318035740542,29.79257241111306,759.1704957918687,0.7803319705034027,785.0,32.0,25.0
26,10.0,92.9244875907898,"팔순 어머님과 봤는데, 2시간 순삭!! 루즈하지도 않고, 조연들의 연기는 완전 최고네요. 좋은 배우로 더 많이 보고싶어요. 마동석은 현실계 헐크같고, 윤계상은 진짜 배우가 되어버렸네요. 티켓파워없는 캐스팅이지만, 간만에 재밌게 본 영화 등극! ",0.7820295697311479,22.083009053520804,810.425860339945,0.2088931871468374,728.0,78.0,26.0
28,10.0,39.563292264938354,마동석 윤계상 이번에 떴다 ,3.6704525909242065,22.88051224811073,348.88984203338623,0.9276336570439174,566.0,21.0,28.0
30,9.0,98.47952127456665,ㅋㅋ잔인한것도 있지만 재밌게 잘 봤음 ,1.6476379712648472,25.890695097048994,781.3110988991601,0.383082950818333,554.0,24.0,30.0
31,10.0,97.1204936504364,올해중 나에겐 최고였다 ,1.3997084244475304,11.258504069443143,851.4229633467538,0.40824829046386296,543.0,30.0,31.0
32,9.0,53.66591215133667,윤계상 진짜 멋지네요. 비스트 보이즈에서도 멋있었는데 중박이상은 하겠네요 ,2.837179369877679,30.653485988150678,526.9445003812963,0.5489856841350979,513.0,30.0,32.0
33,9.0,93.34754943847656,"마동석의 슈퍼히어로물 이라며 평을 낮게 주는 평론가들의 수준이 의심된다. 정말 있을법한 현실감과 영화특유의 각색, 연출, 유머 등 짜임새가 훌륭한 구성이었다. 베테랑의 레벨보다 한단계 더 뛰어넘은 영화다. ",1.7568452380080095,28.724862485883328,523.7909458819839,0.5017129869685816,487.0,30.0,33.0
34,10.0,27.707642316818237,마동석 너무 멋있습니다....윤계상도 연기력 굿굿 ,1.0154515589195334,27.832888383526353,712.8845787469079,0.3885955943493344,463.0,24.0,34.0
35,8.0,7.349619269371033,오늘 봤는데 ?굿 굿  스트레스 팍 날렸네 연기들 좋고  ?왜 극장 시간이  왜이리 없어  공평하게 스크린 줍시다 ,1.0198039027185568,31.447395115659948,386.1695851135254,0.30774780325331297,435.0,23.0,35.0
36,9.0,97.81144857406616,개꿀쨈ㅋㅋ윤계상연기잘함ㅎㅎ ,0.77138921583987,12.608616688253173,860.1892399787903,0.4321662605614612,383.0,19.0,36.0
37,10.0,97.05039858818054,진짜 강추. 아닥봄하세요. 이번 추석엔 무조건 범죄도시임. 영화같이본 친구랑 우린 또 보러가기로 함.보면서 아 영화 신세계에 이은 한국영화계의 명작이 나왔구나 했다. 진짜 강추 아닥봄! ,3.7919253981126886,33.17796530277217,748.8136188433721,0.7319250547113999,409.0,46.0,37.0
38,10.0,43.13250780105591,"윤계상은 없었다.. 장 첸이 있었을 뿐~ 마블리,윤계상 지켜보던 1인으로 흐뭇했던 영화... 그리고 추석 영화 중 쵝오였음~^^ ",2.0925339244208376,27.867357674554647,793.4892358413109,0.25504714253411415,368.0,13.0,38.0
39,8.0,81.05342984199524,마동석 짱 윤계상 연기잘함 ,2.117634293262177,30.819761938702996,465.31704546511173,0.26122322656955144,370.0,19.0,39.0
40,10.0,55.92077374458313,마동석이다 무슨말이 더 필요하냐? ,1.5935440675509578,31.873513482186866,663.4082534715727,0.3940921005668019,329.0,30.0,40.0
41,10.0,50.78614354133606,이 영화 꼭봐라 . 참고로 필자는 베테랑도 재미없다고했는데.이건 진짜 미쳤다..천만영화다이거 ,3.299831645537222,32.63138381142444,323.01950498421985,0.5408987230262506,330.0,31.0,41.0
42,10.0,88.5545015335083,더 깡패같은 형사와 사이코패쓰 같은 조선족 조폭의 대결. 윤계상 이번엔 배역 소화 제대로 인듯. 거기에 조선족 배역 조연들의 열연이 대단하다. 지루할 틈이 없는 두시간의 여정! 강추합니다!! ,3.8396686778360904,17.43014935732836,763.2142670154572,0.340384211320027,306.0,12.0,42.0
43,10.0,73.46540689468384,마동석광팬임다.덕분에 속후련하게 봤습니다. ,0.7126966450997982,19.371021791486935,747.1190028644744,-0.20386011405961846,306.0,19.0,43.0
45,10.0,97.3944902420044,베테랑 이후 군더더기없이 깔끔한 구성의 형사물(?) 영화 하나 나왔네요! 진짜 진짜 재밌게 봤습니다 ,1.7578395831246947,30.71129077417647,618.7932521343231,0.6606958729393096,277.0,10.0,45.0
46,10.0,99.5507299900055,통쾌한 액션!! 코믹한 마동석표 개그!! 무서운 장첸~~~ 극중 캐릭터도 다 살아있고 케미도 좋고 꿀잼입니다!!!! 연휴때 스트레스 받을때 함 보세요ㅋ ,2.9748949561287032,40.66816089822275,547.7491664886475,0.8563488385776752,266.0,17.0,46.0
47,9.0,79.94133234024048,와 윤계상 연기 쩐다 진짜 쩐다 ,3.207181173605945,30.83076367484586,448.20376494683717,0.5354953017361831,260.0,14.0,47.0
48,10.0,99.6192216873169,주연부터 조연까지 배우들이 연기를 엄청 잘합니다. 그리고 영화자체도 진짜 재밌음 ,1.3068531549257267,26.043838132139143,628.3074289118306,0.3230261972998879,225.0,6.0,48.0
49,10.0,91.76379442214966,진짜 명절스트레스 확 풀리네범죄도시 강추입니다!! ,4.022528709356603,28.90049591782682,436.07628627627855,0.6547186132874442,219.0,7.0,49.0
50,9.0,97.02105522155762,"윤계상의 새로운 모습, 마동석의 시원한 싸다구 재밌습니다! ",2.5968830649246724,31.735714480449246,707.7346347678791,0.3797755833123851,218.0,7.0,50.0
51,10.0,82.4850082397461,윤계상은 연기로 절대 못 깔 듯 영화가 시원시원 한게 너무 재밌게 봤음 ,1.2242445763826795,26.175903585325944,627.4660014536844,0.12259146925673546,199.0,6.0,51.0
52,8.0,56.897515058517456,윤계상은 예전부터 의외로 캐릭터에 잘 빠져서 연기 잘하는데 평가절하되는듯... ,3.2073184953498797,28.65771264546389,639.9248929997565,0.5119915340468334,198.0,14.0,52.0
53,10.0,98.96340370178223,시간 가는 줄 모르고 보는 영화 강추입니다윤계상 연기 짱 마동석 파워 짱 ,2.429810291386181,36.805395371158376,568.1436728724727,0.7159827078037263,192.0,9.0,53.0
55,10.0,55.2260160446167,시사회로 보고왓습니다. 마동석때문에 빵빵터지고 생각보다 잔인하진않았어요 커플끼리 친구끼리 강츄!! ,1.1435437497937313,22.868676362306093,782.7286856816365,0.24948677364914168,203.0,27.0,55.0
56,10.0,98.52234721183777,방금  보고 왔는데 와!!존잼 스트레스 확풀리네ㅋ꼭 보세요!! ,3.4840908267278117,33.41354619447853,503.53910171985626,0.7589709258986453,184.0,13.0,56.0
57,10.0,95.08117437362671,개인적인 생각이지만 장첸 밑에 있던 2인자 연기 굿입니다 ,0.82915619758885,11.830413121247021,843.7079937458038,0.316227766016838,172.0,2.0,57.0
58,9.0,66.91759824752808,식상한 소재로 이렇게 재밋게 만들었다는게 놀랍다 윤계상 연기 캐리 오짐 ,3.0634443618294567,27.515847845330022,500.10508258607655,0.3230966993280918,177.0,8.0,58.0
59,10.0,9.571707248687744,볼만하다특히 윤계상 피도눈물도 없는 연기 칭찬할만 하네 ,3.4800968923530404,27.980043138650302,299.2411888742523,0.597263572596111,163.0,5.0,59.0
60,9.0,93.72034072875977,"윤계상 연기 잘하는지 새삼느낀영화, ",1.3564659966250536,5.151643148164806,894.5467940330506,0.9746794344808963,169.0,11.0,60.0
62,10.0,97.9671835899353,진짜 강추입니다 정말재미있습니다. ,3.4080273857089343,36.49544930948877,524.0576904447455,0.7011523869629221,160.0,6.0,62.0
63,9.0,23.395389318466187,이 정도면 <공공의적>처럼 시리즈로 만들어도 될법한데? ,3.3905522965066117,21.12229284214536,375.34264785365053,-0.06366394516800769,159.0,8.0,63.0
64,10.0,80.38824796676636,걍 봐야함 존잼 대박나라!!! ,2.6280537792569367,33.0271655927546,488.6838308334351,0.5932143415097744,159.0,9.0,64.0
65,10.0,96.90452814102173,잔인한 장면이 많지만 액션 및 스토리가 최고입니다 ,1.730767331432956,32.63406320660725,614.2614945729573,0.5677335894338369,153.0,6.0,65.0
66,10.0,86.63668632507324,시사회때 봤는데 감독의 리얼리티 연출이 좋았어요 어벤져스같은 마블같은 영화는 이제 좀 질리는데 이런 사실적인 영화가 더 좋네요 암튼 강추합니다 ,3.715050470720418,27.907734777286144,484.4375539588928,0.2417965224546463,153.0,10.0,66.0
67,10.0,99.97780323028564,포스터랑 예고편이 모든것을 망쳤다고 해야할까 마치 영화 신세계처럼;원래 볼 생각 없었는데 개봉 당일에 남한산성이랑 범죄도시 둘 중에 평 좋은걸로 볼 생각이어서 평 좋은 범죄도시 봤는데 올해 본 영화중에 제일 재밌었다. 진실의방 하드캐리ㅋㅋㅋ ,1.5132745950421558,23.093955119014055,719.9718793869018,0.4592381676435712,146.0,5.0,67.0
68,10.0,52.4305522441864,마동석 윤계상 두명 연기력 장난없음 ,2.0701966780270626,23.116685819522786,610.3600467273167,0.09245003270420486,141.0,4.0,68.0
70,10.0,89.17024731636047,ㅋㅋㅋㅋ히어로물인줄 알았습니다재밌어요 ,4.124318125460256,25.840682165387154,606.3436492204667,0.5698028822981897,129.0,7.0,70.0
71,9.0,74.57451820373535,다 좋은데 아쉬운건 스크린수...아마 추석때 좌석 없어서 다른걸 선택해야 할지도 모르겠지만 그래도 기다려서 본다면 후회는 안함 ,3.5112517552703184,26.01033977932531,370.2848474740982,0.1542677704151635,123.0,6.0,71.0
72,7.0,92.41830110549927,주연이외에도 연기자분들 다들 연기 잘하셔서 조금잔인했지만 볼만했습니다~ ,1.2777531299998797,39.40369259782924,638.8486332212176,0.6736330697086078,124.0,9.0,72.0
73,10.0,94.76953148841858,재미 있게 잘봤습니다~~~^^ ,1.268803212360176,26.080075896514764,780.1231778719846,0.22801618948794372,107.0,4.0,73.0
74,10.0,67.39409565925598,화끈하게 그리고 시원하게 달린다 ,1.5274244813809763,18.242494053792004,522.2316278407449,0.4864975526800834,107.0,7.0,74.0
